name,r,g,b,hex
"AliceBlue","240","248","255","#F0F8FF"
"AntiqueWhite","250","235","215","#FAEBD7"
"Aqua","0","255","255","#00FFFF"
"Aquamarine","127","255","212","#7FFFD4"
"Azure","240","255","255","#F0FFFF"
"Beige","245","245","220","#F5F5DC"
"Bisque","255","228","196","#FFE4C4"
"Black","0","0","0","#000000"
"BlanchedAlmond","255","235","205","#FFEBCD"
"Blue","0","0","255","#0000FF"
"BlueViolet","138","43","226","#8A2BE2"
"Brown","165","42","42","#A52A2A"
"BurlyWood","222","184","135","#DEB887"
"CadetBlue","95","158","160","#5F9EA0"
"Chartreuse","127","255","0","#7FFF00"
"Chocolate","210","105","30","#D2691E"
"Coral","255","127","80","#FF7F50"
"CornflowerBlue","100","149","237","#6495ED"
"Cornsilk","255","248","220","#FFF8DC"
"Crimson","220","20","60","#DC143C"
"Cyan","0","255","255","#00FFFF"
"DarkBlue","0","0","139","#00008B"
"DarkCyan","0","139","139","#008B8B"
"DarkGoldenRod","184","134","11","#B8860B"
"DarkGray","169","169","169","#A9A9A9"
"DarkGreen","0","100","0","#006400"
"DarkKhaki","189","183","107","#BDB76B"
"DarkMagenta","139","0","139","#8B008B"
"DarkOliveGreen","85","107","47","#556B2F"
"DarkOrange","255","140","0","#FF8C00"
"DarkOrchid","153","50","204","#9932CC"
"DarkRed","139","0","0","#8B0000"
"DarkSalmon","233","150","122","#E9967A"
"DarkSeaGreen","143","188","143","#8FBC8F"
"DarkSlateBlue","72","61","139","#483D8B"
"DarkSlateGray","47","79","79","#2F4F4F"
"DarkTurquoise","0","206","209","#00CED1"
"DarkViolet","148","0","211","#9400D3"
"DeepPink","255","20","147","#FF1493"
"DeepSkyBlue","0","191","255","#00BFFF"
"DimGray","105","105","105","#696969"
"DodgerBlue","30","144","255","#1E90FF"
"FireBrick","178","34","34","#B22222"
"FloralWhite","255","250","240","#FFFAF0"
"ForestGreen","34","139","34","#228B22"
"Fuchsia","255","0","255","#FF00FF"
"Gainsboro","220","220","220","#DCDCDC"
"GhostWhite","248","248","255","#F8F8FF"
"Gold","255","215","0","#FFD700"
"GoldenRod","218","165","32","#DAA520"
"MediumSlateBlue","123","104","238","#7B68EE"
"CadetBlue","95","158","160","#5F9EA0"
"RosyBrown","188","143","143","#BC8F8F"
"LightCoral","240","128","128","#F08080"
"IndianRed","205","92","92","#CD5C5C"
"Crimson","220","20","60","#DC143C"
"FireBrick","178","34","34","#B22222"
"DarkRed","139","0","0","#8B0000"
"Maroon","128","0","0","#800000"
"Brown","165","42","42","#A52A2A"
"SaddleBrown","139","69","19","#8B4513"
"Sienna","160","82","45","#A0522D"
"Chocolate","210","105","30","#D2691E"
"Peru","205","133","63","#CD853F"
"DarkGoldenrod","184","134","11","#B8860B"
"Goldenrod","218","165","32","#DAA520"
"DarkKhaki","189","183","107","#BDB76B"
"Khaki","240","230","140","#F0E68C"
"Olive","128","128","0","#808000"
"YellowGreen","154","205","50","#9ACD32"
"DarkOliveGreen","85","107","47","#556B2F"
"OliveDrab","107","142","35","#6B8E23"
"LimeGreen","50","205","50","#32CD32"
"Lime","0","255","0","#00FF00"
"SpringGreen","0","255","127","#00FF7F"
"MediumSpringGreen","0","250","154","#00FA9A"
"PaleGreen","152","251","152","#98FB98"
"LightGreen","144","238","144","#90EE90"
"DarkSeaGreen","143","188","143","#8FBC8F"
"MediumSeaGreen","60","179","113","#3CB371"
"SeaGreen","46","139","87","#2E8B57"
"ForestGreen","34","139","34","#228B22"
"Green","0","128","0","#008000"
"DarkGreen","0","100","0","#006400"
"Chartreuse","127","255","0","#7FFF00"
"LawnGreen","124","252","0","#7CFC00"
"LightCyan","224","255","255","#E0FFFF"
"PaleTurquoise","175","238","238","#AFEEEE"
"Aquamarine","127","255","212","#7FFFD4"
"Turquoise","64","224","208","#40E0D0"
"MediumTurquoise","72","209","204","#48D1CC"
"DarkTurquoise","0","206","209","#00CED1"
"LightSeaGreen","32","178","170","#20B2AA"
"CadetBlue","95","158","160","#5F9EA0"
"DarkCyan","0","139","139","#008B8B"
"Teal","0","128","128","#008080"
"Aqua","0","255","255","#00FFFF"
"Cyan","0","255","255","#00FFFF"
"LightBlue","173","216","230","#ADD8E6"
"SkyBlue","135","206","235","#87CEEB"
"DeepSkyBlue","0","191","255","#00BFFF"
"DodgerBlue","30","144","255","#1E90FF"
"Sunset Orange","255","69","0","#FF4500"
"Coral","255","127","80","#FF7F50"
"Tomato","255","99","71","#FF6347"
"Orange Red","255","83","73","#FF5349"
"Dark Orange","255","140","0","#FF8C00"
"Gold","255","215","0","#FFD700"
"Goldenrod","218","165","32","#DAA520"
"Khaki","240","230","140","#F0E68C"
"Peach","255","229","180","#FFE5B4"
"Bisque","255","228","196","#FFE4C4"
"Moccasin","255","228","181","#FFE4B5"
"Papaya Whip","255","239","213","#FFEFD5"
"Blanched Almond","255","235","205","#FFEBCD"
"Navajo White","255","222","173","#FFDEAD"
"Wheat","245","222","179","#F5DEB3"
"Burly Wood","222","184","135","#DEB887"
"Tan","210","180","140","#D2B48C"
"Rosy Brown","188","143","143","#BC8F8F"
"Sandy Brown","244","164","96","#F4A460"
"Golden Brown","153","101","21","#996515"
"Peru","205","133","63","#CD853F"
"Chocolate","210","105","30","#D2691E"
"Saddle Brown","139","69","19","#8B4513"
"Sienna","160","82","45","#A0522D"
"Brown","165","42","42","#A52A2A"
"Maroon","128","0","0","#800000"
"Dark Red","139","0","0","#8B0000"
"Firebrick","178","34","34","#B22222"
"Indian Red","205","92","92","#CD5C5C"
"Light Coral","240","128","128","#F08080"
"Salmon","250","128","114","#FA8072"
"Dark Salmon","233","150","122","#E9967A"
"Light Salmon","255","160","122","#FFA07A"
"Orange","255","165","0","#FFA500"
"Dark Orange","255","140","0","#FF8C00"
"Coral Red","255","64","64","#FF4040"
"Tomato Red","255","99","71","#FF6347"
"Vermilion","227","66","52","#E34234"
"Carmine","150","0","24","#960018"
"Ruby","224","17","95","#E0115F"
"Crimson","220","20","60","#DC143C"
"Pink","255","192","203","#FFC0CB"
"Light Pink","255","182","193","#FFB6C1"
"Hot Pink","255","105","180","#FF69B4"
"Deep Pink","255","20","147","#FF1493"
"Pale Violet Red","219","112","147","#DB7093"
"Medium Violet Red","199","21","133","#C71585"
"Lavender Blush","255","240","245","#FFF0F5"
"Cerulean","42","82","190","#2A52BE"
"Coral","255","127","80","#FF7F50"
"CornflowerBlue","100","149","237","#6495ED"
"Crimson","220","20","60","#DC143C"
"DarkBlue","0","0","139","#00008B"
"DarkCyan","0","139","139","#008B8B"
"DarkGoldenRod","184","134","11","#B8860B"
"DarkGray","169","169","169","#A9A9A9"
"DarkGreen","0","100","0","#006400"
"DarkKhaki","189","183","107","#BDB76B"
"DarkMagenta","139","0","139","#8B008B"
"DarkOliveGreen","85","107","47","#556B2F"
"DarkOrange","255","140","0","#FF8C00"
"DarkOrchid","153","50","204","#9932CC"
"DarkRed","139","0","0","#8B0000"
"DarkSalmon","233","150","122","#E9967A"
"DarkSeaGreen","143","188","143","#8FBC8F"
"DarkSlateBlue","72","61","139","#483D8B"
"DarkSlateGray","47","79","79","#2F4F4F"
"DarkTurquoise","0","206","209","#00CED1"
"DarkViolet","148","0","211","#9400D3"
"DeepPink","255","20","147","#FF1493"
"DeepSkyBlue","0","191","255","#00BFFF"
"DimGray","105","105","105","#696969"
"DodgerBlue","30","144","255","#1E90FF"
"FireBrick","178","34","34","#B22222"
"FloralWhite","255","250","240","#FFFAF0"
"ForestGreen","34","139","34","#228B22"
"Fuchsia","255","0","255","#FF00FF"
"Gainsboro","220","220","220","#DCDCDC"
"GhostWhite","248","248","255","#F8F8FF"
"Gold","255","215","0","#FFD700"
"GoldenRod","218","165","32","#DAA520"
"Gray","128","128","128","#808080"
"GreenYellow","173","255","47","#ADFF2F"
"HoneyDew","240","255","240","#F0FFF0"
"HotPink","255","105","180","#FF69B4"
"IndianRed","205","92","92","#CD5C5C"
"Indigo","75","0","130","#4B0082"
"Ivory","255","255","240","#FFFFF0"
"Khaki","240","230","140","#F0E68C"
"LavenderBlush","255","240","245","#FFF0F5"
"LawnGreen","124","252","0","#7CFC00"
"LemonChiffon","255","250","205","#FFFACD"
"LightBlue","173","216","230","#ADD8E6"
"LightCoral","240","128","128","#F08080"
"LightCyan","224","255","255","#E0FFFF"
"LightGoldenRodYellow","250","250","210","#FAFAD2"
"LightGray","211","211","211","#D3D3D3"
"LightGreen","144","238","144","#90EE90"
"LightPink","255","182","193","#FFB6C1"
"LightSalmon","255","160","122","#FFA07A"
"LightSeaGreen","32","178","170","#20B2AA"
"LightSkyBlue","135","206","250","#87CEFA"
"LightSlateGray","119","136","153","#778899"
"LightSteelBlue","176","196","222","#B0C4DE"
"DarkCyan","0","139","139","#008B8B"
"DarkGoldenRod","184","134","11","#B8860B"
"DarkGray","169","169","169","#A9A9A9"
"DarkGreen","0","100","0","#006400"
"DarkKhaki","189","183","107","#BDB76B"
"DarkMagenta","139","0","139","#8B008B"
"DarkOliveGreen","85","107","47","#556B2F"
"DarkOrange","255","140","0","#FF8C00"
"DarkOrchid","153","50","204","#9932CC"
"DarkRed","139","0","0","#8B0000"
"DarkSalmon","233","150","122","#E9967A"
"DarkSeaGreen","143","188","143","#8FBC8F"
"DarkSlateBlue","72","61","139","#483D8B"
"DarkSlateGray","47","79","79","#2F4F4F"
"DarkTurquoise","0","206","209","#00CED1"
"DarkViolet","148","0","211","#9400D3"
"DeepPink","255","20","147","#FF1493"
"DeepSkyBlue","0","191","255","#00BFFF"
"DimGray","105","105","105","#696969"
"DodgerBlue","30","144","255","#1E90FF"
"FireBrick","178","34","34","#B22222"
"FloralWhite","255","250","240","#FFFAF0"
"ForestGreen","34","139","34","#228B22"
"Fuchsia","255","0","255","#FF00FF"
"Gainsboro","220","220","220","#DCDCDC"
"GhostWhite","248","248","255","#F8F8FF"
"Gold","255","215","0","#FFD700"
"GoldenRod","218","165","32","#DAA520"
"Gray","128","128","128","#808080"
"GreenYellow","173","255","47","#ADFF2F"
"HoneyDew","240","255","240","#F0FFF0"
"HotPink","255","105","180","#FF69B4"
"IndianRed","205","92","92","#CD5C5C"
"Indigo","75","0","130","#4B0082"
"Ivory","255","255","240","#FFFFF0"
"Khaki","240","230","140","#F0E68C"
"LavenderBlush","255","240","245","#FFF0F5"
"LawnGreen","124","252","0","#7CFC00"
"LemonChiffon","255","250","205","#FFFACD"
"LightBlue","173","216","230","#ADD8E6"
"LightCoral","240","128","128","#F08080"
"LightCyan","224","255","255","#E0FFFF"
"LightGoldenRodYellow","250","250","210","#FAFAD2"
"LightGray","211","211","211","#D3D3D3"
"LightGreen","144","238","144","#90EE90"
"LightPink","255","182","193","#FFB6C1"
"LightSalmon","255","160","122","#FFA07A"
"LightSeaGreen","32","178","170","#20B2AA"
"LightSkyBlue","135","206","250","#87CEFA"
"LightSlateGray","119","136","153","#778899"
"LightSteelBlue","176","196","222","#B0C4DE"
"LightYellow","255","255","224","#FFFFE0"
"Lime","0","255","0","#00FF00"
"LimeGreen","50","205","50","#32CD32"
"Linen","250","240","230","#FAF0E6"
"Magenta","255","0","255","#FF00FF"
"Maroon","128","0","0","#800000"
"MediumAquaMarine","102","205","170","#66CDAA"
"MediumBlue","0","0","205","#0000CD"
"MediumOrchid","186","85","211","#BA55D3"
"MediumPurple","147","112","219","#9370DB"
"MediumSeaGreen","60","179","113","#3CB371"
"MediumSlateBlue","123","104","238","#7B68EE"
"MediumSpringGreen","0","250","154","#00FA9A"
"MediumTurquoise","72","209","204","#48D1CC"
"MediumVioletRed","199","21","133","#C71585"
"MidnightBlue","25","25","112","#191970"
"MintCream","245","255","250","#F5FFFA"
"MistyRose","255","228","225","#FFE4E1"
"Moccasin","255","228","181","#FFE4B5"
"NavajoWhite","255","222","173","#FFDEAD"
"Navy","0","0","128","#000080"
"OldLace","253","245","230","#FDF5E6"
"Olive","128","128","0","#808000"
"OliveDrab","107","142","35","#6B8E23"
"Orange","255","165","0","#FFA500"
"OrangeRed","255","69","0","#FF4500"
"Orchid","218","112","214","#DA70D6"
"PaleGoldenRod","238","232","170","#EEE8AA"
"PaleGreen","152","251","152","#98FB98"
"PaleTurquoise","175","238","238","#AFEEEE"
"PaleVioletRed","219","112","147","#DB7093"
"PapayaWhip","255","239","213","#FFEFD5"
"PeachPuff","255","218","185","#FFDAB9"
"Peru","205","133","63","#CD853F"
"Pink","255","192","203","#FFC0CB"
"Plum","221","160","221","#DDA0DD"
"PowderBlue","176","224","230","#B0E0E6"
"Purple","128","0","128","#800080"
"RebeccaPurple","102","51","153","#663399"
"Red","255","0","0","#FF0000"
"RosyBrown","188","143","143","#BC8F8F"
"RoyalBlue","65","105","225","#4169E1"
"SaddleBrown","139","69","19","#8B4513"
"Salmon","250","128","114","#FA8072"
"SandyBrown","244","164","96","#F4A460"
"SeaGreen","46","139","87","#2E8B57"
"SeaShell","255","245","238","#FFF5EE"
"Sienna","160","82","45","#A0522D"
"Silver","192","192","192","#C0C0C0"
"SkyBlue","135","206","235","#87CEEB"
"SlateBlue","106","90","205","#6A5ACD"
"SlateGray","112","128","144","#708090"
"Snow","255","250","250","#FFFAFA"
"SpringGreen","0","255","127","#00FF7F"
"SteelBlue","70","130","180","#4682B4"
"Tan","210","180","140","#D2B48C"
"Teal","0","128","128","#008080"
"Thistle","216","191","216","#D8BFD8"
"Tomato","255","99","71","#FF6347"
"Turquoise","64","224","208","#40E0D0"
"Violet","238","130","238","#EE82EE"
"Wheat","245","222","179","#F5DEB3"
"White","255","255","255","#FFFFFF"
"WhiteSmoke","245","245","245","#F5F5F5"
"Yellow","255","255","0","#FFFF00"
"YellowGreen","154","205","50","#9ACD32"
"BabyBlue","137","207","240","#89CFF0"
"CarnationPink","255","166","201","#FFA6C9"
"Cerulean","0","123","167","#007BA7"
"CornflowerBlue","100","149","237","#6495ED"
"Crimson","220","20","60","#DC143C"
"ElectricBlue","125","249","255","#7DF9FF"
"Fuchsia","255","0","255","#FF00FF"
"Gold","255","215","0","#FFD700"
"GoldenRod","218","165","32","#DAA520"
"HotPink","255","105","180","#FF69B4"
"Indigo","75","0","130","#4B0082"
"Ivory","255","255","240","#FFFFF0"
"Jade","0","168","107","#00A86B"
"KellyGreen","76","187","23","#4CBB17"
"LavenderBlush","255","240","245","#FFF0F5"
"LemonChiffon","255","250","205","#FFFACD"
"LightCoral","240","128","128","#F08080"
"LightCyan","224","255","255","#E0FFFF"
"LightGoldenRodYellow","250","250","210","#FAFAD2"
"LightGray","211","211","211","#D3D3D3"
"LightGreen","144","238","144","#90EE90"
"LightPink","255","182","193","#FFB6C1"
"LightSalmon","255","160","122","#FFA07A"
"LightSeaGreen","32","178","170","#20B2AA"
"LightSkyBlue","135","206","250","#87CEFA"
"LightSlateGray","119","136","153","#778899"
"LightSteelBlue","176","196","222","#B0C4DE"
"LightYellow","255","255","224","#FFFFE0"
"Lilac","200","162","200","#CAA2C8"
"LimeGreen","50","205","50","#32CD32"
"MagentaCrayola","246","100","175","#F664AF"
"Malachite","11","218","81","#0BDA51"
"MangoTango","255","130","67","#FF8243"
"MaroonX11","176","48","96","#B03060"
"MistyRose","255","228","225","#FFE4E1"
"LemonChiffon","255","250","205","#FFFACD"
"PaleGoldenRod","238","232","170","#EEE8AA"
"LightGoldenRodYellow","250","250","210","#FAFAD2"
"PapayaWhip","255","239","213","#FFEFD5"
"BlanchedAlmond","255","235","205","#FFEBCD"
"Bisque","255","228","196","#FFE4C4"
"PeachPuff","255","218","185","#FFDAB9"
"NavajoWhite","255","222","173","#FFDEAD"
"Moccasin","255","228","181","#FFE4B5"
"Cornsilk","255","248","220","#FFF8DC"
"OldLace","253","245","230","#FDF5E6"
"LightYellow","255","255","224","#FFFFE0"
"Ivory","255","255","240","#FFFFF0"
"HoneyDew","240","255","240","#F0FFF0"
"MintCream","245","255","250","#F5FFFA"
"Azure","240","255","255","#F0FFFF"
"AliceBlue","240","248","255","#F0F8FF"
"GhostWhite","248","248","255","#F8F8FF"
"WhiteSmoke","245","245","245","#F5F5F5"
"Seashell","255","245","238","#FFF5EE"
"Beige","245","245","220","#F5F5DC"
"OldLace","253","245","230","#FDF5E6"
"FloralWhite","255","250","240","#FFFAF0"
"AntiqueWhite","250","235","215","#FAEBD7"
"Linen","250","240","230","#FAF0E6"
"LavenderBlush","255","240","245","#FFF0F5"
"MistyRose","255","228","225","#FFE4E1"
"PapayaWhip","255","239","213","#FFEFD5"
"BlanchedAlmond","255","235","205","#FFEBCD"
"Bisque","255","228","196","#FFE4C4"
"PeachPuff","255","218","185","#FFDAB9"
"NavajoWhite","255","222","173","#FFDEAD"
"Moccasin","255","228","181","#FFE4B5"
"Cornsilk","255","248","220","#FFF8DC"
"LemonChiffon","255","250","205","#FFFACD"
"LightGoldenRodYellow","250","250","210","#FAFAD2"
"LightYellow","255","255","224","#FFFFE0"
"Ivory","255","255","240","#FFFFF0"
"HoneyDew","240","255","240","#F0FFF0"
"Azure","240","255","255","#F0FFFF"
"AliceBlue","240","248","255","#F0F8FF"
"GhostWhite","248","248","255","#F8F8FF"
"WhiteSmoke","245","245","245","#F5F5F5"
"Seashell","255","245","238","#FFF5EE"
"Beige","245","245","220","#F5F5DC"
"FloralWhite","255","250","240","#FFFAF0"
"AntiqueWhite","250","235","215","#FAEBD7"
"Linen","250","240","230","#FAF0E6"
"LavenderBlush","255","240","245","#FFF0F5"
"PowderBlue","176","224","230","#B0E0E6"
"LightBlue","173","216","230","#ADD8E6"
"SkyBlue","135","206","235","#87CEEB"
"LightSkyBlue","135","206","250","#87CEFA"
"DeepSkyBlue","0","191","255","#00BFFF"
"DodgerBlue","30","144","255","#1E90FF"
"CornflowerBlue","100","149","237","#6495ED"
"SteelBlue","70","130","180","#4682B4"
"RoyalBlue","65","105","225","#4169E1"
"Blue","0","0","255","#0000FF"
"MediumBlue","0","0","205","#0000CD"
"DarkBlue","0","0","139","#00008B"
"Navy","0","0","128","#000080"
"MidnightBlue","25","25","112","#191970"
"AliceBlue","240","248","255","#F0F8FF"
"LightCyan","224","255","255","#E0FFFF"
"PaleTurquoise","175","238","238","#AFEEEE"
"Aqua","0","255","255","#00FFFF"
"Cyan","0","255","255","#00FFFF"
"DarkCyan","0","139","139","#008B8B"
"Teal","0","128","128","#008080"
"LightSteelBlue","176","196","222","#B0C4DE"
"PowderBlue","176","224","230","#B0E0E6"
"CadetBlue","95","158","160","#5F9EA0"
"DarkTurquoise","0","206","209","#00CED1"
"MediumTurquoise","72","209","204","#48D1CC"
"Turquoise","64","224","208","#40E0D0"
"LightSeaGreen","32","178","170","#20B2AA"
"MediumAquamarine","102","205","170","#66CDAA"
"Aquamarine","127","255","212","#7FFFD4"
"PaleGreen","152","251","152","#98FB98"
"LightGreen","144","238","144","#90EE90"
"MediumSpringGreen","0","250","154","#00FA9A"
"SpringGreen","0","255","127","#00FF7F"
"LawnGreen","124","252","0","#7CFC00"
"Green","0","255","0","#00FF00"
"Chartreuse","127","255","0","#7FFF00"
"MediumSeaGreen","60","179","113","#3CB371"
"SeaGreen","46","139","87","#2E8B57"
"ForestGreen","34","139","34","#228B22"
"Green","0","128","0","#008000"
"DarkGreen","0","100","0","#006400"
"YellowGreen","154","205","50","#9ACD32"
"OliveDrab","107","142","35","#6B8E23"
"Olive","128","128","0","#808000"
"DarkOliveGreen","85","107","47","#556B2F"
"MediumAquaMarine","102","205","170","#66CDAA"
"DarkSeaGreen","143","188","143","#8FBC8F"
"LightSeaGreen","32","178","170","#20B2AA"
"PaleTurquoise","175","238","238","#AFEEEE"
"CadetBlue","95","158","160","#5F9EA0"
"RosyBrown","188","143","143","#BC8F8F"
"RoyalBlue","65","105","225","#4169E1"
"SaddleBrown","139","69","19","#8B4513"
"Salmon","250","128","114","#FA8072"
"SandyBrown","244","164","96","#F4A460"
"SeaGreen","46","139","87","#2E8B57"
"Seashell","255","245","238","#FFF5EE"
"Sienna","160","82","45","#A0522D"
"Silver","192","192","192","#C0C0C0"
"SkyBlue","135","206","235","#87CEEB"
"SlateBlue","106","90","205","#6A5ACD"
"SlateGray","112","128","144","#708090"
"Snow","255","250","250","#FFFAFA"
"SpringGreen","0","255","127","#00FF7F"
"SteelBlue","70","130","180","#4682B4"
"Tan","210","180","140","#D2B48C"
"Teal","0","128","128","#008080"
"Thistle","216","191","216","#D8BFD8"
"Tomato","255","99","71","#FF6347"
"Turquoise","64","224","208","#40E0D0"
"Violet","238","130","238","#EE82EE"
"Wheat","245","222","179","#F5DEB3"
"WhiteSmoke","245","245","245","#F5F5F5"
"YellowGreen","154","205","50","#9ACD32"
"DarkOliveGreen","85","107","47","#556B2F"
"LightCoral","240","128","128","#F08080"
"DarkGoldenrod","184","134","11","#B8860B"
"LawnGreen","124","252","0","#7CFC00"
"MediumAquamarine","102","205","170","#66CDAA"
"MediumPurple","147","112","219","#9370DB"
"MediumSlateBlue","123","104","238","#7B68EE"
"LightCyan","224","255","255","#E0FFFF"
"LightGoldenrodYellow","250","250","210","#FAFAD2"
"LightGreen","144","238","144","#90EE90"
"LightPink","255","182","193","#FFB6C1"
"LightSalmon","255","160","122","#FFA07A"
"LightSeaGreen","32","178","170","#20B2AA"
"LightSkyBlue","135","206","250","#87CEFA"
"LightSlateGray","119","136","153","#778899"
"LightSteelBlue","176","196","222","#B0C4DE"
"Lime","0","255","0","#00FF00"
"LimeGreen","50","205","50","#32CD32"
"Linen","250","240","230","#FAF0E6"
"Maroon","128","0","0","#800000"
"MediumBlue","0","0","205","#0000CD"
"MediumOrchid","186","85","211","#BA55D3"
"MediumSeaGreen","60","179","113","#3CB371"
"MediumSpringGreen","0","250","154","#00FA9A"
"MidnightBlue","25","25","112","#191970"
"MistyRose","255","228","225","#FFE4E1"